0,0.0025
1000,6.7874
2000,13.459
3000,18.7798
4000,25.3431
5000,33.183
6000,40.4632
7000,47.8421
8000,55.6505
9000,64.0497
10000,72.0909
11000,80.4241
12000,89.2005
13000,98.0794
14000,107.164
15000,116.26
16000,125.761
17000,135.506
18000,145.439
19000,156.664
20000,166.527
21000,175.606
22000,186.368
23000,197.01
24000,207.892
25000,219.077
26000,230.358
27000,241.224
28000,252.897
29000,264.543
30000,276.34
31000,288.357
32000,300.407
33000,312.914
34000,325.567
35000,338.259
36000,351.247
37000,364.44
38000,377.575
39000,393.685
40000,407.338
41000,421.37
42000,435.671
43000,449.617
44000,463.65
45000,477.801
46000,492.646
47000,507.775
48000,522.789
49000,537.958
50000,553.594
